name,tier,categories,type,time,reach,duration,effect
Mudo,1,"Mono, Death, Dark",Active,Default,1 target,Instant,Instantly kill targets below 15+3TEC% maximum HP (max 40%).
Ha Mudo,1,"Multi, Death, Dark",Active,Default,1 target and all adjacent targets,Instant,Instantly kill targets below 10+2TEC% maximum HP (max 25%).
Mamudo,1,"Death, Dark",Active,Default,Any # of targets,Instant,"Instantly kill targets below 5+TEC% maximum HP, (max 25%)."
Eiha,1,"Mono, Dark, Curse",Active,Default,1 target within 4m,Instant,Hit: MAG4 Dark damage. Curse: MAG damage.
Haeiha,1,"Multi, Dark, Curse",Active,Default,Up to 3 targets within 4m,Instant,Hit: 2MAG Dark damage. Curse: MAG/2 (Min. 1) damage.
Maeiha,1,"Total, Dark, Curse",Active,Default,Any # of targets within 8m,Instant,Hit: MAG Dark damage. Curse: Deals MAG4 damage to all units adjacent to the Cursed unit.
Dark Boost,2,"Unique, Boost, Dark",Passive,Automatic,Caster,Passive,Increase the “Max” limit of all your Death Category Dark spells by 5%. Curse spells you cast deal 15% more damage on hit. Both effects stack with Dark Amp.
Eiga,2,"Mono, Dark, Curse",Active,Default,1 target within 4m,Instant,Hit: MAG6 Dark damage. Curse: Target’s next attack deals MAG less damage (this is considered a Debuff effect).
Haeiga,2,"Multi, Dark, Curse",Active,Default,Up to 3 targets within 4m,Instant,Hit: MAG4 Dark damage. Curse: MAG+8 damage.
Maeiga,2,"Total, Dark, Curse",Active,Default,Any # of targets within 8m,Instant,Hit: 2MAG Dark damage. Curse: Deals MAG4 damage to all units within 2m of each Cursed unit.
Grasp of the Lesser Key,2,Curse,Held,Default,Any # of targets you can see,Instant,"Spend 2 Energy per selected target. Curse: Target is moved up to 4m in any direction (your choice) and its movement allowance is reduced to 1 until the end of your next turn. At the end of your turn, you can select any number of targets that were affected by this Curse this turn as a Quick action: Spend 2 Energy per target, extend this spell’s movement allowance effect until the end of your next turn."
Mudoon,3,"Mono, Death, Dark",Active,Default,1 target,Instant,Instantly kill targets below 30+3TEC% maximum HP (max 80%).
Ha Mudoon,3,"Death, Dark",Active,Default,1 target and all adjacent targets,Instant,Instantly kill targets below 25+2TEC% maximum HP (max 50%).
Mamudoon,3,"Death, Dark",Active,Default,Any # of targets,Instant,Instantly kill targets below 20+TEC% maximum HP (max 50%).
Dark Amp,3,"Unique, Boost, Death, Dark",Passive,Automatic,Caster,Passive,Add 5% to all Death checks from spells you cast. Curse spells you cast deal 15% more damage on hit.
Eigaon,3,"Mono, Dark, Curse",Active,Default,1 target within 4m,Instant,Hit: MAG8 Dark damage. Curse: MAG4 damage.
Haeigaon,3,"Multi, Dark, Curse",Active,Default,Up to 3 targets within 4m,Instant,Hit: MAG4 Dark damage. Curse: MAG4 damage.
Maeigaon,3,"Total, Dark, Curse",Active,Default,Any # of targets within 8m,Instant,Hit: 2MAG Dark damage. Curse: Deals 2MAG damage to all units within 2 (minimum 1) meters of each Cursed unit.
Zai Aku Tou Ten,3,"Unique, Curse",Passive,Automatic,Caster,Passive,"Whenever a spell you cast Curses a unit and that Curse effect includes dealing damage, you may spend X Energy: Extend Curse on that target for X turns (Curse will trigger at the start of each of that unit’s turns). If one spell you cast Curses more than one target, you must pay this price individually for each target you wish to apply this effect to."
Eternal Punishment,5,"Mono, Repress, Death, Dark",Active,Default,1 target,Instant,"Instantly kill targets below 60+3TEC% maximum HP. If this spell kills, Repress."
Demonic Decree,5,"Mono, Repress, Death, Dark",Active,Default,1 target,Instant,"Spend 4 Energy and Repress. Instantly kills one target below 90% maximum HP, as long as target’s current HP value is lower than the caster’s current HP value."
Die for Me!,5,"Total, Repress, Death, Dark",Active,Default,Any # of targets,Instant,Pay 1 Aspect Point. Instantly kill targets below 25+2TEC% maximum HP. Repress to add 10% to the roll and treat Null Dark and Drain Dark as Resist Dark.
Black Future,5,"Total, Dark, Curse",Active,Default,Up to 4 targets within 8m,Instant,Hit: MAG8 Dark damage. The next time a spell you cast against a target hit by this spell Curses: Trigger all Curses on the target immediately (they still trigger at the start of the enemy’s turn)
Hush,5,"Mono, Dark, Curse, Repress",Active,Default,1 target within 4m,Instant,Hit: 1 Dark damage. Curse: MAG12+2MAG damage. Repress: HDC+1 and apply a second Curse: You take no damage from the target’s next attack.
Astra,1,"Mono, Almighty",Burst,Default,1 target within 8m,Instant,Cast: Hit: MAG6-2 Almighty damage. Burst: Hit: MAG4 Almighty damage to the target and adjacent targets. Does not check to hit adjacent targets.
Ha Astra,1,"Almighty, Multi, Debuff",Burst,Default,Up to 3 targets within 8m,Instant,"Cast: Hit: MAG4 Almighty damage. Burst: Hit: &MAG4-4 Almighty damage and the next Physical, Element, Light or Dark spell cast against the target deals +1d6 damage."
Ma Astra,1,"Almighty, Total, Status",Burst,Default,Any # of targets within 8m,Instant,"Cast: Hit: 2MAG Almighty damage. Burst: Hit: 2MAG Almighty damage, Slowed chance: 25%"
Astrala,2,"Mono, Almighty",Burst,Default,1 target within 8m,Instant,Cast: Hit: MAG6+MAG Almighty damage. Burst: Hit: MAG6 Almighty damage to the target and adjacent targets. Does not check to hit adjacent targets.
Ha Astrala,2,"Almighty, Multi, Debuff",Burst,Default,Up to 3 targets within 8m,Instant,Cast: Hit: MAG4+3 Almighty damage. Burst: Hit: MAG4 Almighty damage and the next damage-dealing spell cast against the target deals +1d10 damage on hit.
Ma Astrala,2,"Almighty, Total, Status",Burst,Default,Any # of targets within 8m,Instant,"Cast: Hit: MAG4 Almighty damage. Burst: Hit: 2MAG Almighty damage, Stunned chance: 30%"
Astradyne,3,"Mono, Almighty",Burst,Default,1 target within 8m,Instant,Cast: Hit: MAG8+2 Almighty damage. Burst: Hit: MAG6+MAG Almighty damage to the target and any number of targets within 2 meters of the original target. Does not check to hit extra targets.
Ha Astradyne,3,"Almighty, Multi, Debuff",Burst,Default,Up to 3 targets within 8m,Instant,Cast: Hit: MAG6+2 Almighty damage. Burst: Hit: MAG6 Almighty damage and Rakundamon (Fortify Physical and Elements -8 for 3 rounds)
Ma Astradyne,3,"Almighty, Total, Status",Burst,Default,Any # of targets within 8m,Instant,"Cast: Hit: MAG4+4 Almighty damage. Burst: Hit: MAG Almighty damage, Knockdown chance: 20%"
Megido,3,"Area, Almighty",Active,Default,1 target within 8m and any adjacent to it,Instant,Spend 1 Energy to cast. Hit: MAG10+2 Almighty damage.
Already Dead,3,"Death, Almighty",Burst,Default,1 target within 6m,Instant,"Cast: Hit: 1d6 Almighty damage. Burst (no hit check): MAG4 Almighty damage, instantly kills targets below 23% HP."
Megidola,5,"Area, Almighty",Active,Default,1 target within 8m and all combatants within 2m of it,Instant,Spend 1 Energy to cast. Hit: MAG10+MAG Almighty damage.
Megidolaon,6,"Area, Almighty",Active,Default,1 target within 8m and all combatants within 2m of it,Instant,Pay 1 Aspect Point. Hit: MAG12+104 Almighty damage.
Black Viper,6,"Repress, Almighty",Active,Default,1 target within 10m,Instant,Pay 1 Aspect Point or Repress. Hit: MAG12+4MAG Almighty damage.
Final Word,6,"Mono, Light, Dark, Death, Repress, Almighty",Active,Default,1 target within 10m,Instant,"Pay 1 Aspect Point. Hit: MAG12+2MAG Almighty damage. Target suffers the effects of Hamaon, then Mudoon. Resist Light/Dark is bypassed. Resistances above Resist are treated as Resist. Hamaon: 52% of the target’s current HP dealt as Light damage. Mudoon: Instantly kills the target if it’s below 42% maximum HP (max 80%). Repress to use MAG instead of TEC to calculate the results of Hamaon (becomes 337%) and Mudoon (becomes 80%)."
Morning Star,6,"Total, Realized, Repress, Almighty",Active,Default,"Any # of targets within 3m, or a 5m radius explosion within 8m (explosion damages allies within range)",Instant,"Sacrifice all uses of all other spells and pay 2 Energy to cast. Hit: MAG12+7MAG Almighty damage. Repress to give this spell: Realized: This spell destroys and melts an area of 1m radius around the targets, wrecking all objects that aren’t extremely resistant."
Doors to Hades,6,"Dark, Death, Almighty",Active,Default,1 target within 5m and any adjacent to it,Instant,Repress to cast. Hit: MAG12+2MAG Almighty damage. Pay 1 Aspect Point: Cast Mudoon on all hit enemies. Mudoon: Instantly kills enemies whose HP is below 42% (max 80%).
Dia,1,"Mono, Heal",Active,Default,1 target within 8m,Instant,Restores MAG6 + PLv*2 HP to the target.
Ha Dia,1,"Multi, Heal",Active,Default,All targets within 4m,Instant,Restores MAG6 + PLv HP to each target
Media,1,"Total, Heal",Active,Default,All allies,Instant,Restores MAG4 HP to each target
Soma,1,"Mono, Quick, Status, Heal",Active,Quick,1 adjacent target,Instant,"Removes all Status, except Knocked Down."
Ha Soma,1,"Multi, Status, Heal",Active,Default,Caster and all allies within 4m,Instant,"Removes all Status, except Knocked Down."
Recarm,1,"Mono, Revive, Heal",Active,Default,1 target within 5m,Instant,Revives the target with 50% HP.
Death's Edge,1,"Mono, Quick, Revive, Heal",Active,Quick,1 target,Instant,Revives target with 1 HP
Diarama,2,"Mono, Heal",Active,Default,1 target within 8m,Instant,Restores MAG8 + PLv*4 HP to the target.
Ha Diarama,2,"Multi, Heal",Active,Default,Caster and all allies within 4m,Instant,Restores MAG8 + PLv*2 HP to each target
Mediarama,2,"Total, Heal",Active,Default,All allies,Instant,Restores MAG6 + MAG HP to each target.
Me Soma,2,"Total, Status, Heal",Active,Default,All allies,Instant,"Removes all Status, except Knocked Down"
Source of Hygeia,2,"Unique, Boost, Heal",Passive,Automatic,Caster,Passive,Heal spells you cast heal 25% more HP. Does not stack with other Boost effects.
Caduceus,2,"Unique, Repress, Heal",Passive,Default,Caster,Instant,"You can cast Heal spells, up to Tier III, without spending uses or Energy. Repress any spells cast this way."
Diaraja,3,"Mono, Heal",Active,Default,1 target within 6m,Instant,Restores MAG10 + PLv*5 HP to the target.
Ha Diaraja,3,"Multi, Heal",Active,Default,Caster and all allies within 4m,Instant,Restores MAG10 + 3MAG HP to each target.
Mediaraja,3,"Total, Heal",Active,Default,All allies,Instant,Restores MAG10 HP to each target.
Recarmdra,3,"Mono, Revive, Heal",Active,Default,1 target,Instant,Restores 100% HP or revives target with 100% HP. Reduce caster’s HP to 0.
Amrita,3,"Total, Status, Heal",Active,Default,1 target within 5m,Instant,Removes all Status.
Hands of Asclepius,3,"Unique, Boost, Heal",Passive,Automatic,Caster,Passive,Heal spells you cast restore 50% more HP. Does not stack with other Boost effects.
Diarahan,5,"Mono, Heal",Active,Default,1 target within 8m,Instant,Restores 100% HP to the target.
Ha Diarahan,5,"Multi, Heal",Active,Default,Any # of targets within 4m,Instant,Pay 1 Aspect Point to cast. Restores 100% HP to each target.
Mediarahan,5,"Total, Repress, Heal",Active,Default,All allies,Instant,Restores 100% HP to each target. Repress.
Plume of Dawn,5,"Repress, Revive, Total, Status, Heal",Active,Default,All allies,Instant,"Pay 1 Aspect Point. Pay 1 extra Aspect Point for each ally below 1 HP you wish to apply this effect to. Removes all Status, except Knocked Down, Revives and Restores 100% HP. Repress."
Tarukaja,1,"Mono, Taru, Buff",Active,Default,1 target you can see,3 turns,"+1 STR, +1 MAG"
Sukukaja,1,"Mono, Suku, Buff",Active,Default,1 target you can see,3 turns,"+1 AGI, +1 TEC"
Rakukaja,1,"Mono, Raku, Buff",Active,Default,1 target you can see,3 turns,"Fortify Physical +4, Fortify Elements +4"
Dekaja,1,"Removal, Buff",Active,Default,Any # of targets,Instant,"Remove all positive Taru, Suku and Raku effects."
Tarukajamon,2,"Mono, Taru, Buff",Active,Default,1 target you can see,3 turns,"+2 STR, +2 MAG"
Auto-Tarukaja,2,"Auto, Unique, Taru, Buff",Passive,Start of combat,Caster,3 turns,"+1 STR, +1 MAG"
Ha Tarukaja,2,"Taru, Multi, Buff",Active,Default,Up to 2 targets you can see,3 turns,"+1 STR, +1 MAG"
Sukukajamon,2,"Mono, Suku, Buff",Active,Default,1 target you can see,3 turns,"+2 AGI, +2 TEC"
Auto-Sukukaja,2,"Auto, Unique, Suku, Buff",Passive,Start of combat,Caster,3 turns,"+1 AGI, +1 TEC"
Ha Sukukaja,2,"Suku, Multi, Buff",Active,Default,Up to 2 targets you can see,3 turns,"+1 AGI, +1 TEC"
Rakukajamon,2,"Mono, Raku, Buff",Active,Default,1 target you can see,3 turns,"Fortify Physical +8, Fortify Elements +8"
Auto-Rakukaja,2,"Auto, Unique, Raku, Buff",Passive,Start of combat,Caster,3 turns,"Fortify Physical +4, Fortify Elements +4"
Ha Rakukaja,2,"Raku, Multi, Buff",Active,Default,Up to 2 targets you can see,3 turns,"Fortify Physical +4, Fortify Elements +4"
Rebellion,2,"Total, Luck, Quick, Buff",Active,Quick,All combatants,Instant,Grants 2 temporary Luck Charges to each target.
Tarukajaou,3,"Mono, Taru, Buff",Active,Default,1 target you can see,3 turns,"+3 STR, +3 MAG"
Auto-Tarukajamon,3,"Auto, Unique, Taru, Buff",Passive,Start of combat,Caster,3 turns,"+2 STR, +2 MAG"
Ha Tarukajamon,3,"Taru, Multi, Buff",Active,Default,Up to 2 targets you can see,3 turns,"+2 STR, +2 MAG"
Matarukaja,3,"Taru, Total, Buff",Active,Default,All allies,3 turns,"+1 STR, +1 MAG"
Sukukajaou,3,"Mono, Suku, Buff",Active,Default,1 target you can see,3 turns,"+3 AGI, +3 TEC"
Auto-Sukukajamon,3,"Auto, Unique, Suku, Buff",Passive,Start of combat,Caster,3 turns,"+2 AGI, +2 TEC"
Ha Sukukajamon,3,"Suku, Multi, Buff",Active,Default,Up to 2 targets you can see,3 turns,"+2 AGI, +2 TEC"
Masukukaja,3,"Suku, Total, Buff",Active,Default,All allies,3 turns,"+1 AGI, +1 TEC"
Rakukajaou,3,"Mono, Raku, Buff",Active,Default,1 target you can see,3 turns,"Fortify Physical +12, Fortify Elements +12"
Auto-Rakukajamon,3,"Auto, Unique, Raku, Buff",Passive,Start of combat,Caster,3 turns,"Fortify Physical +8, Fortify Elements +8"
Ha Rakukajamon,3,"Raku, Multi, Buff",Active,Default,Up to 2 targets you can see,3 turns,"Fortify Physical +8, Fortify Elements +8"
Marakukaja,3,"Raku, Total, Buff",Active,Default,All allies,3 turns,"Fortify Physical +4, Fortify Elements +4"
Revolution,3,"Critical, Unique, Buff",Passive,Automatic,Caster,Passive,Critical Margin +1
Tarukajyne,5,"Mono, Taru, Buff",Active,Default,1 target you can see,3 turns,"+4 STR, +4 MAG"
Auto-Tarukajaou,5,"Auto, Unique, Taru, Buff",Passive,Start of combat,Caster,3 turns,"+3 STR, +3 MAG"
Ha Tarukajaou,5,"Taru, Multi, Buff",Active,Default,Up to 2 targets you can see,3 turns,"+3 STR, +3 MAG"
Matarukajamon,5,"Taru, Total, Buff",Active,Default,All allies,3 turns,"+2 STR, +2 MAG"
Sukukajyne,5,"Mono, Suku, Buff",Active,Default,1 target you can see,3 turns,"+4 AGI, +4 TEC"
Auto-Sukukajaou,5,"Auto, Unique, Suku, Buff",Passive,Start of combat,Caster,3 turns,"+3 AGI, +3 MAG"
Ha Sukukajaou,5,"Suku, Multi, Buff",Active,Default,Up to 2 targets you can see,3 turns,"+3 AGI, +3 TEC"
Masukukajamon,5,"Suku, Total, Buff",Active,Default,All allies,3 turns,"+2 AGI, +2 TEC"
Rakukajyne,5,"Mono, Raku, Buff",Active,Default,1 target you can see,3 turns,"Fortify Physical +24, Fortify Elements +24"
Auto-Rakukajaou,5,"Auto, Unique, Raku, Buff",Passive,Start of combat,Caster,3 turns,"Fortify Physical +12, Fortify Elements +12"
Ha Rakukajaou,5,"Raku, Multi, Buff",Active,Default,Up to 2 targets you can see,3 turns,"Fortify Physical +12, Fortify Elements +12"
Marakukajamon,5,"Raku, Total, Buff",Active,Default,All allies,3 turns,"Fortify Physical +8, Fortify Elements +8"
Cataclysm,5,"Total, Luck, Quick, Buff",Active,Quick,All combatants,Until combat ends,"Critical Margin +1, Grants 3 Luck Charges"
Heat Riser,5,"Unique, Mono, Taru, Suku, Raku, Buff",Active,Default,1 target you can see,3 rounds,"+2 STR, +2 MAG, +2 TEC, +2 AGI, Fortify Physical +8, Fortify Elements +8"
Tarunda,1,"Mono, Taru, Debuff",Active,Default,1 target you can see,3 turns,"-1 STR, -1 MAG"
Sukunda,1,"Mono, Suku, Debuff",Active,Default,1 target you can see,3 turns,"-1 AGI, -1 TEC"
Rakunda,1,"Mono, Raku, Debuff",Active,Default,1 target you can see,3 turns,"Fortify Physical -4, Fortify Elements -4"
Dekunda,1,"Removal, Total, Debuff",Active,Default,All allies,Instant,"Remove all negative Taru, Suku and Raku effects"
Tarundamon,2,"Taru, Debuff, Mono",Active,Default,1 target you can see,3 turns,"-2 STR, -2 MAG"
Ha Tarunda,2,"Taru, Multi, Debuff",Active,Default,Up to 2 targets you can see,3 turns,"-1 STR, -1 MAG"
Sukundamon,2,"Mono, Suku, Debuff",Active,Default,1 target you can see,3 turns,"-2 AGI, -2 TEC"
Ha Sukunda,2,"Suku, Multi, Debuff",Active,Default,Up to 2 targets you can see,3 turns,"-1 AGI, -1 TEC"
Rakundamon,2,"Mono, Raku, Debuff",Active,Default,1 target you can see,3 turns,"Fortify Physical -8, Fortify Elements -8"
Ha Rakunda,2,"Raku, Multi, Debuff",Active,Default,1 target you can see,3 turns,"Fortify Physical -4, Fortify Elements -4"
Cease Rebellion,2,"Total, Critical, Debuff",Active,Default,Any # of targets,3 turns,Critical Margin -1
Tarundaou,3,"Mono, Taru, Debuff",Active,Default,1 target you can see,3 turns,"-3 STR, -3 MAG"
Ha Tarundamon,3,"Taru, Multi, Debuff",Active,Default,Up to 2 targets you can see,3 turns,"-2 STR, -2 MAG"
Matarunda,3,"Taru, Total, Debuff",Active,Default,All enemies,3 turns,"-1 STR, -1 MAG"
Sukundaou,3,"Mono, Suku, Debuff",Active,Default,1 target you can see,3 turns,"-3 AGI, -3 TEC"
Ha Sukundamon,3,"Suku, Multi, Debuff",Active,Default,Up to 2 targets you can see,3 turns,"-2 AGI, -2 TEC"
Masukunda,3,"Suku, Total, Debuff",Active,Default,All enemies,3 turns,"-1 AGI, -1 TEC"
Rakundaou,3,"Mono, Raku, Debuff",Active,Default,1 target you can see,3 turns,"Fortify Physical -12, Fortify Elements -12"
Ha Rakundamon,3,"Raku, Multi, Debuff",Active,Default,Up to 2 targets you can see,3 turns,"Fortify Physical -8, Fortify Elements -8"
Marakunda,3,"Raku, Total, Debuff",Active,Default,All enemies,3 turns,"Fortify Physical -4, Fortify Elements -4"
Tarundyne,5,"Mono, Taru, Debuff",Active,Default,1 target you can see,3 turns,"-4 STR, -4 MAG"
Ha Tarundaou,5,"Taru, Multi, Debuff",Active,Default,Up to 2 targets you can see,3 turns,"-3 STR, -3 MAG"
Matarundamon,5,"Taru, Total, Debuff",Active,Default,All enemies,3 turns,"-2 STR, -2 MAG"
Sukundyne,5,"Mono, Suku, Debuff",Active,Default,1 target you can see,3 turns,"-4 AGI, -4 TEC"
Ha Sukundaou,5,"Suku, Multi, Debuff",Active,Default,Up to 2 targets you can see,3 turns,"-3 AGI, -3 TEC"
Masukundamon,5,"Suku, Total, Debuff",Active,Default,All enemies,3 turns,"-2 AGI, -2 TEC"
Rakundyne,5,"Mono, Raku, Debuff",Active,Default,1 target you can see,3 turns,"Fortify Physical -24, Fortify Elements -24"
Ha Rakundaou,5,"Raku, Multi, Debuff",Active,Default,Up to 2 targets you can see,3 turns,"Fortify Physical -12, Fortify Elements -12"
Marakundamon,5,"Raku, Total, Debuff",Active,Default,All enemies,3 turns,"Fortify Physical -8, Fortify Elements -8"
Debilitate,5,"Mono, Raku, Suku, Taru, Unique, Repress, Debuff",Active,Default,1 target you can see,3 turns,"Repress and pay 3 Energy to cast. -3 STR, -3 MAG, -3 AGI, -3 TEC, Fortify Physical -8, Fortify Elements -8"
Pulinpa,1,"Mono, Panicked, Mental, Status",Active,Default,1 target within 8m,Until healed,Chance of Panicked: 35+5TEC%
Evil Touch,1,"Mono, Fearful, Mental, Status",Active,Default,1 target within 8m,Until healed,Chance of Fearful: 25+5TEC%
Enrage,1,"Mono, Enraged, Mental, Status",Active,Default,1 target within 8m,Until healed,Chance of Enraged: 35+5TEC%
Poisma,1,"Mono, Poisoned, Status",Active,Default,1 target within 6m,Until healed,Chance of Poisoned: 20+5TEC%
Abatma,1,"Mono, Slowed, Nerve, Status",Active,Default,1 target within 6m,Until healed,Chance of Slowed: 20+5TEC%
Confunda,1,"Mono, Stunned, Nerve, Status",Active,Default,1 target within 6m,Until healed,Chance of Stunned: 15+5TEC%
Stagnant Air,2,"Total, Status",Active,Default,All combatants,3 rounds,LCK -2 for all rolls to dodge Status effects.
Vile Breath,2,"Total, Status",Active,Default,All combatants,3 rounds,LCK -1 for all rolls to dodge Status. TEC +1 for Light and Dark spells.
Marin Karin,2,"Mono, Charmed, Mental, Status",Active,Default,1 target within 6m,Until healed,Chance of Charmed: 30+5TEC%
Sexy Dance,2,"Total, Charmed, Mental, Status",Active,Default,Any # of targets within 6m,Until healed,Chance of Charmed: 10+5TEC% 
Tentarafoo,2,"Total, Panicked, Mental, Status",Active,Default,Any # of targets within 6m,Until healed,Chance of Panicked: 20+5TEC%
Evil Smile,2,"Total, Fearful, Mental, Status",Active,Default,Any # of targets within 6m,Until healed,Chance of Fearful: 10+5TEC%
Wage War,2,"Multi, Enraged, Mental, Status",Active,Default,Any # of targets within 6m,Until healed,Chance of Enraged: 15+5TEC%
Pulinpaja,2,"Mono, Panicked, Mental, Status",Active,Default,1 target within 8m,Until healed,Chance of Panicked: 50+5TEC%
Poismaja,2,"Mono, Poisoned, Status",Active,Default,1 target within 8m,Until healed,Chance of Poisoned: 45+5TEC%
Ha Poisma,2,"Multi, Poisoned, Status",Active,Default,Up to 2 targets within 8m,Until healed,Chance of Poisoned: 15+5TEC%
Abatmaja,2,"Mono, Slowed, Nerve, Status",Active,Default,1 target within 6m,Until healed,Chance of Slowed: 40+5TEC%
Mabatma,2,"Multi, Slowed, Nerve, Status",Active,Default,Up to 2 targets within 6m,Until healed,Chance of Slowed: 25+5TEC%
Maconfunda,2,"Multi, Stunned, Nerve, Status",Active,Default,Up to 2 targets within 6m,Until healed,Chance of Stunned: 15+5TEC%
Poison Breath,3,"Total, Poisoned, Status",Active,Default,Any # of targets within 6m,Until healed,Chance of Poisoned: 15+5TEC%
Enchanting Allure,3,"Multi, Charmed, Mental, Status",Active,Default,Any # of targets within 6m,Until healed,Chance of Charmed: 20+5TEC%
Terrifying Visage,3,"Multi, Fearful, Mental, Status",Active,Default,Any # of targets within 6m,Until healed,Chance of Fearful: 25+5TEC%
Poisoned Spike,3,"Mono, Poisoned, Status",Active,Default,1 target within 6m,Until healed,Chance of Poisoned: 80+5TEC%
Crushing Force,3,"Mono, Stunned, Nerve, Status",Active,Default,1 target within 8m,Until healed,Chance of Stunned: 75+5TEC%
Ghastly Wail,5,"Repress, Death, Total, Status",Active,Default,Any number of targets,Instant,Hit: Instantly kills targets suffering from at least one Status effect. Repress and spend 1 Aspect Point to bypass the dodge roll of each target (one per target). Against targets with Hetelic Resistances: HDC -1 and deals 10% of the target’s current health as Status Type damage if the target is suffering at least one Status effect (this replaces the spell’s default effect).
Perception,1,"Unique, Perception, Counters, Intel",Passive,Automatic,Caster,Passive,"At the start of each of your turns, add 1 counter to your party’s Cognitive Counters pool. This spell is granted at no cost for Personae with the Intel Type."
Agile Analysis,1,"Perception, Counters, Intel",Active,Default,Caster,Instant,Gain the same number of counters you’ve gained at the start of your turn once more.
Tactical Scan,1,"Mono, Free, Analysis, Intel",Active,Free,1 target you can see,Permanent,Spend 1 counter. Reveals 1 Active spell of target’s deck.
Analyze Myths,1,"Mono, Free, Analysis, Intel",Active,Free,1 target you can see,Permanent,Spend 1 counter. Reveal target’s Natural Skill
Monitor,1,"Mono, Free, Analysis, Intel",Active,Free,1 target you can see or communicate with,Permanent,Spend 1 counter. You have access to all information the target knows and is willing to share with you.
Simulation,1,"Mono, Free, Analysis, Intel",Active,Free,1 target you can see,Permanent,Spend 1 counter. Reveal one of target’s elemental interactions of your choice.
Mark of Slaughter,1,"Mono, Interrupt, Unique, Intel",Passive,Interrupt,1 target you can see,Instant,Spend 1 counter when an attack is declared against an Analyzed target to grant Critical Margin +1 for this attack. This effect can only be applied once per attack.
Destiny Seal,1,"Mono, Free, Intel",Passive,Free,1 target you can see,Until next attack,Spend 1 counter to increase the trigger chance of the next Status check rolled against this target by 20%. This effect can only be applied once per attack.
Fog of War,1,"Vision, Free, Buff, Intel",Active,Free,Caster,Until the end of your next turn,"Spend 1 counter. A 5-meter radius around you obscures all targets within, including Shadows. Obscured targets receive +1 DDC."
Dizzying Lights,1,"Mono, Free, Knockout, Intel",Active,Free,1 target you can see,Until healed,Spend X counters. Targets whose HP are below 15+5X% are knocked unconscious (unconscious targets cannot perform actions until they’re attacked once).
Disguise,1,"Vision, Free, Intel",Active,Free,Any # of allies you can see,Until dispelled,"You can change the outfits and minor visual features such as hair, eye and skin color of consenting targets."
Cloak of Shadows,1,"Mono, Free, Vision, Buff, Intel",Held,Free,1 target you can see,Until the end of caster's next turn,Spend 1 counter. Target gains +1 DDC against Analyzed targets. Spend 1 counter to extend this spell’s duration as a Quick action.
Blind,1,"Mono, Free, Vision, Debuff, Intel",Active,Free,1 Analyzed target you can see,Until dispelled,"HDC -1. At the start of each of your subsequent turns, spend 1 counter or remove this spell’s effect."
Sensorial Connection,1,"Unique, Free, Intel",Passive,Free,All allies,Permanent,"All allies can converse with you and privately amongst themselves, sharing sensory feedback over any distance, as long as the caster and the involved parties are conscious and consenting."
Illusory Terrain,1,"Realized, Intel",Active,Default,1 empty space you can see,Until dispelled,"Distorts a part of the scenery up to 2 spaces long in any configuration, creating a pillar, cover, hole, etc. Targets that are completely obscured by scenery cannot be chosen as the main target of any attacks. The created terrain has HP equal to 0 and 1 AGI to determine dodging damage."
Martyr's Veins,1,"Mono, Damage, Interrupt, Intel",Active,Interrupt,1 target within 6m,Instant,"When an ally takes damage from an attack, you can transfer part of that damage to yourself (Minimum: 50%)."
Silent Image,1,"Mono, Vision, Intel",Active,Default,1 empty space within 6m,Permanent,Creates a projection of an object the caster has seen before. The object can be distinguished from reality if the observer passes a TECd6 check against the caster’s 4d6 roll. The object is not tangible and dissipates as soon as any creature comes in contact with it.
Shuffle,1,"Mono, Free, Initiative, Intel",Active,Free,1 ally you can see,Permanent,Spend 1 counter. You can change the initiative check of 1 target to position them in any order in the initiative order. This effect is applied at the start of the next round.
Vital Sight,1,"Mono, Free, Analysis, Intel",Active,Free,1 target you can see,Permanent,Spend 1 counter. Reveals the target’s maximum HP.
Powerful Perception,2,"Unique, Perception, Counters, Intel",Passive,Automatic,Caster,Passive,"At the start of each of your turns, add 2 counters to your party’s Cognitive Counters pool. This cancels the effects of the Perception spell."
Strategic Analysis,2,"Mono, Analysis, Free, Intel",Active,Free,1 target you can see,Permanent,Spend 2 Counters. Reveal up to 3 Active spells from target’s deck.
Analyze Affinity,2,"Mono, Analysis, Free, Intel",Active,Free,1 target you can see,Permanent,Spend 1 counter. Reveal all of target’s Passive spells.
Constant Analysis,2,"Analysis, Intel",Passive,Automatic,Caster,Passive,"Whenever any target is hit by a spell or basic attack, you can immediately discover target’s elemental interaction with that attack’s Type."
Materialistic Perception,2,"Analysis, Free, Intel",Passive,Free,Caster,Instant,You can quickly recognize any item and their most common uses. You receive additional hints regarding items of interest and where to find them.
Liar's Blessing,2,"Mono, Intel",Passive,Interrupt,1 Analyzed target,Permanent,"When a target is Analyzed, you can choose to spend 1 counter to relay false information instead. Roll Lvd6 against original caster’s 1d6. In case of failure, the caster perceives the information as incorrect and is allowed to try again."
Kaleidoscope,2,"Vision, Action, Intel, Debuff",Active,Default,Any # of targets you can see,Until the end of caster's next turn,"Before performing any default action, each target has a 33% chance to fail completely, resulting in no effect. Against targets with Hetelic Resistances, the chance for an action to fail becomes 10%."
